task_id,title,description,category,priority,status,created_date,due_date,completion_date,assigned_to,created_by,manager,department,estimated_hours,actual_hours,complexity_score,dependencies_count,user_current_workload,user_experience_level,task_age_days,is_overdue
TASK_000001,Task 1: Configure advanced settings for user authentication deployment,Validate streamlined requirements for security audit project. test automated feature in payment processing environment,Finance,Medium,Cancelled,2025-01-31,2025-02-10,2025-02-05,user_024,user_056,manager_08,Finance,5.01,,5.6,0,7,5.3,136,False
TASK_000002,Task 2: Conduct enhanced research on system integration market trends,Fix enhanced bug in workflow automation system. optimize streamlined performance in user authentication database,Project Management,Medium,On Hold,2025-03-09,2025-03-13,,user_088,user_072,manager_05,Marketing,8.39,,6.6,0,7,3.7,99,True
TASK_000003,Task 3: Create advanced report for payment processing stakeholders,Fix advanced bug in client onboarding system. monitor comprehensive metrics for compliance check dashboard,Research,Medium,In Progress,2025-01-09,2025-01-10,,user_138,user_032,manager_30,HR,7.54,7.04,,0,6,4.1,158,True
TASK_000004,Task 4: Integrate comprehensive API with compliance check service,Test advanced feature in user authentication environment. configure enhanced settings for performance monitoring deployment,Testing,Medium,On Hold,2025-04-16,2025-04-18,,user_098,user_072,manager_15,Operations,29.18,,6.5,0,4,6.3,61,True
TASK_000005,Task 5: Design comprehensive interface for client onboarding application,Test streamlined feature in payment processing environment. optimize automated performance in system integration database,Legal,High,In Progress,2025-04-22,2025-04-25,,user_164,user_177,manager_18,Marketing,4.93,6.78,5.3,1,7,5.7,55,True
TASK_000006,Task 6: Test new feature in client onboarding environment,Fix streamlined bug in payment processing system. test complex feature in client onboarding environment,Design,Low,Completed,2025-08-30,2025-09-06,2025-09-09,user_118,user_037,manager_09,Marketing,7.4,8.5,4.0,1,12,5.7,-75,False
TASK_000007,Task 7: Optimize critical performance in compliance check database,Fix comprehensive bug in security audit system. design routine interface for workflow automation application,Testing,Low,Not Started,2025-01-11,2025-01-19,,user_040,user_161,manager_06,Legal,13.11,,1.0,1,5,7.4,156,True
TASK_000008,Task 8: Optimize advanced performance in inventory management database,Fix complex bug in workflow automation system. conduct streamlined research on system integration market trends,Data Analysis,High,In Progress,2024-12-23,2025-01-08,,user_030,user_175,manager_29,Finance,15.85,20.84,7.7,1,5,6.3,175,True
TASK_000009,Task 9: Analyze critical data for data migration optimization,Develop new strategy for performance monitoring campaign. conduct automated research on system integration market trends,Infrastructure,Medium,In Progress,2025-02-10,2025-02-12,,user_077,user_164,manager_17,Finance,9.26,9.25,3.4,2,8,6.1,126,True
TASK_000010,Task 10: Prepare routine presentation for user authentication meeting,Optimize comprehensive performance in workflow automation database. implement advanced functionality for the client onboarding module,Infrastructure,Low,In Progress,2025-05-24,2025-06-10,,user_146,user_021,manager_03,Operations,87.41,66.03,3.9,2,10,5.4,23,True
TASK_000011,Task 11: Prepare automated presentation for data migration meeting,Configure urgent settings for system integration deployment. design streamlined interface for system integration application,Data Analysis,Low,Not Started,2025-07-22,2025-07-29,,user_139,user_194,manager_24,Operations,3.52,,5.1,1,8,7.6,-36,False
TASK_000012,Task 12: Analyze critical data for client onboarding optimization,Develop routine strategy for workflow automation campaign. review and update enhanced documentation for security audit process,Testing,Medium,On Hold,2025-06-09,2025-06-11,,user_151,user_057,,Engineering,,,5.5,1,9,7.2,7,True
TASK_000013,Task 13: Implement enhanced functionality for the payment processing module,Integrate new API with client onboarding service. review and update routine documentation for security audit process,Research,Low,Completed,2025-08-23,2025-08-24,2025-08-24,user_147,user_148,manager_16,Marketing,14.01,18.86,2.6,2,9,4.7,-68,False
TASK_000014,Task 14: Review and update critical documentation for client onboarding process,Fix critical bug in workflow automation system. monitor new metrics for payment processing dashboard,Development,Critical,In Progress,2025-07-12,2025-07-28,,user_028,user_064,manager_07,Marketing,6.34,5.15,,1,5,6.8,-26,False
TASK_000015,Task 15: Develop enhanced strategy for payment processing campaign,Develop routine strategy for payment processing campaign. implement routine functionality for the user authentication module,Testing,Low,Completed,2025-04-18,2025-05-10,2025-05-10,user_055,user_103,manager_29,Engineering,10.19,7.15,6.4,0,14,6.1,59,False
TASK_000016,Task 16: Integrate urgent API with performance monitoring service,Fix routine bug in workflow automation system. design enhanced interface for performance monitoring application,Design,High,Completed,2025-01-16,2025-01-25,2025-01-26,user_192,user_081,manager_02,Engineering,4.88,5.38,3.1,0,14,8.1,151,False
TASK_000017,Task 17: Design new interface for system integration application,Review and update automated documentation for payment processing process. optimize advanced performance in security audit database,Sales,Low,In Progress,2025-02-17,2025-02-23,,user_146,user_064,manager_19,Finance,132.79,162.79,6.4,0,6,3.6,119,True
TASK_000018,Task 18: Create streamlined report for security audit stakeholders,Configure comprehensive settings for security audit deployment. analyze critical data for data migration optimization,Finance,Medium,Not Started,2025-05-20,2025-05-21,,user_019,user_003,manager_15,Finance,82.37,,8.7,3,5,4.8,27,True
TASK_000019,Task 19: Review and update advanced documentation for system integration process,Test routine feature in performance monitoring environment. design comprehensive interface for payment processing application,Infrastructure,Low,In Progress,2025-04-22,2025-04-25,,user_140,user_181,manager_10,Finance,46.02,61.93,8.5,1,8,6.6,55,True
TASK_000020,Task 20: Configure routine settings for performance monitoring deployment,Integrate advanced API with data migration service. analyze advanced data for payment processing optimization,Legal,Low,Not Started,2025-03-07,2025-03-08,,user_184,user_088,manager_07,Operations,17.38,,6.5,1,7,8.2,101,True
TASK_000021,Task 21: Analyze routine data for workflow automation optimization,Analyze new data for payment processing optimization. configure critical settings for performance monitoring deployment,Development,Medium,Completed,2024-12-19,2024-12-27,2024-12-24,user_068,user_042,manager_24,HR,3.86,8.96,,3,9,6.1,179,False
TASK_000022,Task 22: Integrate automated API with system integration service,Implement comprehensive functionality for the compliance check module. conduct automated research on inventory management market trends,Documentation,Low,Not Started,2025-01-08,2025-01-17,,user_011,user_092,manager_07,Operations,10.31,,4.0,1,9,7.1,159,True
TASK_000023,Task 23: Review and update comprehensive documentation for system integration process,Integrate critical API with compliance check service. validate automated requirements for security audit project,Data Analysis,Critical,In Progress,2025-03-11,2025-03-15,,user_046,user_106,manager_01,Marketing,19.85,19.17,3.7,3,8,7.7,97,True
TASK_000024,Task 24: Prepare enhanced presentation for performance monitoring meeting,Design advanced interface for inventory management application. monitor new metrics for workflow automation dashboard,Design,High,Not Started,2025-03-30,2025-04-02,,user_118,user_090,manager_10,Legal,56.25,,7.1,1,7,2.9,78,True
TASK_000025,Task 25: Test enhanced feature in user authentication environment,Configure enhanced settings for inventory management deployment. create streamlined report for payment processing stakeholders,Project Management,High,In Progress,2025-05-09,2025-05-10,,user_174,user_138,manager_11,Engineering,50.22,74.14,5.8,1,5,5.2,38,True
TASK_000026,Task 26: Analyze new data for payment processing optimization,Optimize critical performance in client onboarding database. validate comprehensive requirements for inventory management project,HR,Low,Cancelled,2025-09-05,2025-09-09,2025-09-11,user_049,user_066,manager_02,Operations,30.68,,,3,7,5.0,-81,False
TASK_000027,Task 27: Conduct routine research on security audit market trends,Create critical report for payment processing stakeholders. configure comprehensive settings for compliance check deployment,Marketing,Low,Not Started,2025-02-19,2025-02-27,,user_077,user_130,manager_10,Operations,11.72,,,2,5,8.3,117,True
TASK_000028,Task 28: Fix streamlined bug in system integration system,Design enhanced interface for inventory management application. configure critical settings for data migration deployment,HR,High,On Hold,2025-05-21,2025-06-25,,user_078,user_074,manager_07,HR,13.17,,3.5,3,10,5.8,26,False
TASK_000029,Task 29: Optimize comprehensive performance in workflow automation database,Develop urgent strategy for security audit campaign. conduct urgent research on data migration market trends,Finance,Medium,On Hold,2025-01-30,2025-01-31,,user_159,user_086,manager_03,Legal,4.12,,,1,11,8.8,137,True
TASK_000030,Task 30: Test streamlined feature in security audit environment,Prepare enhanced presentation for data migration meeting. implement new functionality for the security audit module,Customer Support,Medium,Completed,2025-01-24,2025-02-24,2025-03-08,user_148,user_050,manager_23,Operations,15.43,15.74,,3,12,4.4,143,False
TASK_000031,Task 31: Validate new requirements for payment processing project,Prepare critical presentation for security audit meeting. design routine interface for workflow automation application,Development,Critical,Completed,2025-04-24,2025-04-26,,user_032,user_117,manager_05,Legal,10.87,12.23,7.1,1,10,8.3,53,False
TASK_000032,Task 32: Create urgent report for compliance check stakeholders,Monitor routine metrics for inventory management dashboard. monitor routine metrics for workflow automation dashboard,Infrastructure,High,Completed,2025-03-09,2025-03-18,,user_122,user_116,manager_09,Legal,8.61,10.42,4.3,0,12,6.0,99,False
TASK_000033,Task 33: Conduct urgent research on security audit market trends,Analyze urgent data for payment processing optimization. validate streamlined requirements for security audit project,Research,Low,In Progress,2025-06-07,2025-07-05,,user_036,user_039,manager_08,HR,23.04,29.15,1.0,1,3,5.9,9,False
TASK_000034,Task 34: Fix comprehensive bug in system integration system,Develop critical strategy for user authentication campaign. test critical feature in inventory management environment,Infrastructure,Low,Completed,2024-12-28,2024-12-30,,user_196,user_148,manager_13,HR,240.7,313.58,6.5,2,4,5.6,170,False
TASK_000035,Task 35: Monitor critical metrics for system integration dashboard,Validate routine requirements for compliance check project. integrate enhanced api with workflow automation service,Design,Low,Not Started,2025-05-06,2025-05-11,,user_087,user_172,manager_22,Legal,7.82,,2.6,2,9,5.2,41,True
TASK_000036,Task 36: Design urgent interface for data migration application,Optimize routine performance in user authentication database. integrate critical api with compliance check service,HR,Medium,Completed,2024-12-31,2025-01-04,2025-01-04,user_119,user_047,manager_02,Sales,4.56,3.97,8.3,0,8,5.6,167,False
TASK_000037,Task 37: Prepare critical presentation for performance monitoring meeting,Prepare critical presentation for performance monitoring meeting. monitor advanced metrics for workflow automation dashboard,Development,Low,In Progress,2025-01-13,2025-01-14,,user_090,user_058,manager_21,Engineering,5.21,6.37,3.7,1,10,4.7,154,True
TASK_000038,Task 38: Test enhanced feature in user authentication environment,Optimize automated performance in security audit database. design urgent interface for payment processing application,HR,Medium,On Hold,2025-04-08,2025-04-12,,user_095,user_043,manager_20,Finance,4.03,,5.1,0,4,6.2,69,True
TASK_000039,Task 39: Validate advanced requirements for data migration project,Analyze advanced data for compliance check optimization. implement streamlined functionality for the compliance check module,Finance,Low,In Progress,2025-06-28,2025-07-14,,user_020,user_152,manager_23,Legal,12.66,9.9,3.3,2,12,4.9,-12,False
TASK_000040,Task 40: Monitor complex metrics for payment processing dashboard,,Finance,Medium,In Progress,2025-06-25,2025-06-26,,user_004,user_108,manager_27,HR,2.88,4.22,2.0,1,5,7.2,-9,False
